GatyaSetID	BannerON_OFF	ItemID_Ticket	animeID	btnCutID	seriesID	menuCutID	CharaID	waitmaanimON_OFF	imgID	Getcount
0	0	23	2	0	0	4	-1	0	-1	0
1	0	24	2	0	1	4	-1	0	-1	0
2	0	25	2	0	2	4	-1	0	-1	0
3	0	26	2	0	0	4	-1	0	-1	0
4	0	27	2	0	0	4	-1	0	-1	0
5	0	28	2	0	0	4	-1	0	-1	0
6	0	45	2	0	0	4	-1	0	-1	0
7	0	46	2	0	0	4	-1	0	-1	0
8	0	47	2	0	0	4	-1	0	-1	0
9	0	48	2	0	0	4	-1	0	-1	0
10	0	49	2	0	0	4	-1	0	-1	0
11	0	75	2	0	0	4	-1	0	-1	0
12	0	111	4	0	3	4	-1	0	-1	0
13	0	137	4	0	3	4	-1	0	-1	0
14	0	158	5	0	4	4	-1	0	-1	0
15	1	162	6	0	5	4	-1	0	-1	0
16	0	163	6	0	6	4	-1	0	-1	0
17	0	185	6	0	7	4	-1	0	-1	0
18	0	166	6	0	8	4	-1	0	-1	0
19	0	172	6	0	9	4	-1	0	-1	0
20	0	173	5	0	4	4	-1	0	-1	0
21	0	178	6	0	10	4	-1	0	-1	0
22	0	185	6	0	7	4	-1	0	-1	0
23	0	200	6	0	8	4	-1	0	-1	0
24	0	195	6	0	9	4	-1	0	-1	0
25	0	163	6	0	6	4	-1	0	-1	0
26	0	196	5	0	4	4	-1	0	-1	0
27	0	198	6	0	11	4	-1	0	-1	0
28	0	199	6	0	7	4	-1	0	-1	0
29	1	202	6	0	9	4	-1	0	-1	0
30	1	178	6	0	10	4	-1	0	-1	0
31	1	203	5	0	4	4	-1	0	-1	0
32	0	204	6	0	12	4	-1	0	-1	0
33	1	205	4	0	3	4	-1	0	-1	0
34	0	206	8	0	13	4	-1	0	-1	0
35	0	199	6	0	7	4	-1	0	-1	0
36	1	208	6	0	7	4	-1	0	-1	0
37	0	213	6	0	8	4	-1	0	-1	0
38	1	214	8	0	14	4	-1	0	-1	0
39	1	215	6	0	15	4	-1	0	-1	0
40	1	216	6	0	12	4	-1	0	-1	0
41	1	220	6	0	16	4	-1	0	-1	0
42	0	221	8	0	17	4	-1	0	-1	0
43	0	220	6	0	16	4	-1	0	-1	0
44	1	227	8	0	13	4	-1	0	-1	0
45	1	231	6	0	18	4	-1	0	-1	0
46	1	235	6	0	7	4	-1	0	36	0
47	1	242	6	0	8	4	-1	0	-1	0
48	1	243	8	0	17	4	-1	0	-1	0
49	1	248	6	0	18	4	-1	0	-1	0
50	1	255	6	0	9	4	-1	0	-1	0
51	1	259	6	0	16	4	-1	0	-1	50
52	1	267	6	0	19	4	-1	0	-1	0
53	1	260	5	0	4	4	-1	0	-1	0
